step,time_years,spot,log_return,realized_volatility,time_to_maturity,option_fair_value,option_bid,option_ask,option_mid,option_spread,option_delta,option_gamma,option_vega,option_theta,option_rho,option_inventory,stock_position,net_delta,hedge_error,option_cash,hedge_cash,cash,option_market_value,stock_market_value,gross_exposure,portfolio_value
30,0.0015262515262515263,100.0815983243873,0.0006768431774519221,0.1680139722766474,0.11752136752136752,3.1665978423065297,3.15,3.19,3.17,0.040000000000000036,0.5317578313676589,0.05268606512642137,13.64406396148602,-13.771895384800493,5.88224716097507,-7,372.2304819573612,0.0,0.0,2295.1000000000013,-37184.766980153916,-34889.66698015392,-2216.618489614571,37253.42157934971,39470.040068964285,147.13610958122445
31,0.001577126577126577,100.4185839318716,0.0033614525533327303,0.18479853146554087,0.11747049247049246,3.3480749410338007,3.34,3.38,3.36,0.040000000000000036,0.5494440076715231,0.052282482426786576,13.624979453819028,-13.795030215833208,6.088062658957901,-8,439.5552061372185,0.0,0.0,2633.0800000000013,-43945.75847857231,-41312.67847857231,-2678.4599528270405,44139.511360181394,46817.971313008435,148.37292878204607
32,0.001628001628001628,100.35464389167002,-0.0006369379329740739,0.18285002675738932,0.11741961741961741,3.3123486059128595,3.31,3.35,3.33,0.040000000000000036,0.5460964037255979,0.05238023821404603,13.627172684617927,-13.795905751975464,6.046049002304316,-8,439.5552061372185,2.678083156740172,2.678083156740172,2633.0800000000013,-43945.75847857231,-41312.67847857231,-2649.8788847302876,44111.40618263017,46761.285067360455,148.84881932757708
33,0.0016788766788766788,100.27409130234791,-0.0008030015597976682,0.181383598742581,0.11736874236874237,3.2678274307320407,3.2600000000000002,3.3000000000000003,3.2800000000000002,0.040000000000000036,0.5418700249294678,0.052495456082858015,13.62932397994038,-13.794990321845455,5.993751363526584,-6,325.1220149576807,0.0,0.0,1981.0400000000013,-32471.647952429317,-30490.607952429316,-1960.6964584392244,32601.314612269794,34562.01107070902,150.01020140125183
34,0.0017297517297517296,100.14620723996568,-0.0012761589586301812,0.18156543693216598,0.11731786731786731,3.1982591412914942,3.19,3.23,3.21,0.040000000000000036,0.5351424875716454,0.05266006959697017,13.631300175979815,-13.788913242439609,5.912143743816703,-6,325.1220149576807,4.036522414693422,4.036522414693422,1981.0400000000013,-32471.647952429317,-30490.607952429316,-1918.9554847748966,32559.73668822711,34478.692173002004,150.1732510228976
35,0.0017806267806267804,100.24313471898682,0.0009673916350311476,0.18025523189592818,0.11726699226699226,3.249674404456563,3.24,3.2800000000000002,3.2600000000000002,0.040000000000000036,0.5402380509224982,0.05255672147647484,13.624984317513283,-13.798758690044476,5.969532683653852,3,-162.07141527674946,0.0,0.0,-935.139999999999,16363.706818932907,15428.566818932908,974.902321336969,-16246.546715684055,17221.449037021022,156.92242458582223
36,0.0018315018315018315,100.42096059845346,0.0017723741333585195,0.18202632935750285,0.11721611721611722,3.345870036829716,3.3200000000000003,3.36,3.34,0.03999999999999959,0.5495626491940775,0.052335991723726896,13.610034089501053,-13.809001147951555,6.076687367533532,-3,164.86879475822326,0.0,0.0,1080.7400000000011,-16469.584713536686,-15388.844713536684,-1003.7610110489147,16556.282742330048,17560.043753378963,163.67701774444868
37,0.0018823768823768823,100.40308713663086,-0.00017800121122344553,0.17967205132635486,0.11716524216524216,3.3353532279685183,3.3200000000000003,3.36,3.34,0.03999999999999959,0.5486256832670205,0.0523719606438345,13.60863108728608,-13.811362227414673,6.063109020272494,5,-274.3128416335103,0.0,0.0,-1575.4199999999987,27623.40263430529,26047.982634305292,1667.6766139842591,-27541.856141226155,29209.532755210414,173.80310706339515
38,0.0019332519332519332,100.27088715166506,-0.001317560032975603,0.18014907343960826,0.11711436711436711,3.2625806340242605,3.23,3.27,3.25,0.040000000000000036,0.5416876626878252,0.05255664957124966,13.614767932914132,-13.808767661334816,5.9790306333005745,10,-541.6876626878252,0.0,0.0,-3190.5199999999986,54431.97264791369,51241.45264791369,3262.5806340242607,-54315.50249682013,57578.083130844396,188.53078511782223
39,0.001984126984126984,100.14132442327285,-0.0012929625936846441,0.18272666419292177,0.11706349206349206,3.1921375373106287,3.16,3.2,3.18,0.040000000000000036,0.5348637674884537,0.052723071787542625,13.616689150795073,-13.802468545416684,5.896468021776331,17,-909.2684047303711,0.0,0.0,-5402.659999999998,91240.15448742663,85837.49448742662,5426.633813428069,-91055.34230593586,96481.97611936393,208.78599491882778
